:@computed_region_5kre_ccpb,:@computed_region_gwq4_fjxs,:@computed_region_s6p5_2pgr,crimecode,crimedate,crimetime,description,district,inside_outside,latitude,location,location_1,location_1_address,location_1_city,location_1_state,location_1_zip,longitude,neighborhood,post,premise,total_incidents,weapon
122,167,27950,4E,2017-09-25T00:00:00.000,22:30:00,COMMON ASSAULT,SOUTHWESTERN,I,39.28159,AV & S ATHOL AV,POINT (-76.68853 39.28159),,,,,-76.68853,Irvington,822,APT/CONDO,1,HANDS
122,167,27950,4E,2017-09-25T00:00:00.000,22:30:00,COMMON ASSAULT,SOUTHWESTERN,I,39.28159,AV & S ATHOL AV,POINT (-76.68853 39.28159),,,,,-76.68853,Irvington,822,APT/CONDO,1,HANDS
,,27295,3AJF,2017-09-21T00:00:00.000,21:12:00,ROBBERY - CARJACKING,NORTHWESTERN,O,39.35772,4200 NADINE DR,POINT (-76.71161 39.35772),,,,,-76.71161,,631,STREET,1,FIREARM
126,138,27935,7A,2017-06-28T00:00:00.000,0:00:00,AUTO THEFT,SOUTHEASTERN,O,39.28851,400 CORNWALL ST,POINT (-76.54472 39.28851),,,,,-76.54472,Bayview,241,DRIVEWAY,1,
115,242,27295,6G,2017-08-04T00:00:00.000,0:00:00,LARCENY,NORTHERN,,39.35453,2400 W BELVEDERE AVE,POINT (-76.66234 39.35453),,,,,-76.66234,Levindale,532,,1,
21,102,27301,4E,2017-09-17T00:00:00.000,18:30:00,COMMON ASSAULT,CENTRAL,I,39.30947,1800 BOLTON ST,POINT (-76.62914 39.30947),,,,,-76.62914,Bolton Hill,132,APT/CONDO,1,HANDS
9,129,27935,7A,2017-06-16T00:00:00.000,13:15:00,AUTO THEFT,SOUTHEASTERN,I,39.29242,3200 E BALTIMORE ST,POINT (-76.57197 39.29242),,,,,-76.57197,Patterson Park Neighborho,222,ROW/TOWNHO,1,
209,12,14006,3B,2017-04-16T00:00:00.000,16:21:00,ROBBERY - STREET,NORTHERN,O,39.32004,500 W 28TH ST,POINT (-76.62404 39.32004),,,,,-76.62404,Remington,511,STREET,1,
210,16,27301,1F,2014-08-22T00:00:00.000,36,HOMICIDE,CENTRAL,Outside,39.31059,2000 LINDEN AV,POINT (-76.63251 39.31059),,,,,-76.63251,Reservoir Hill,133,,1,FIREARM
31,131,27935,6C,2017-09-25T00:00:00.000,17:50:00,LARCENY,SOUTHEASTERN,I,39.27703,3500 BOSTON ST,POINT (-76.56732 39.27703),,,,,-76.56732,Canton Industrial Area,233,SPECIALTY,1,
252,59,27295,7A,2017-09-29T00:00:00.000,9:00:00,AUTO THEFT,NORTHWESTERN,O,39.33973,4400 BELVIEU AVE,POINT (-76.69456 39.33973),,,,,-76.69456,West Arlington,621,STREET,1,
44,158,13642,6E,2017-09-26T00:00:00.000,21:00:00,LARCENY,CENTRAL,O,39.31015,1800 MARYLAND AVE,POINT (-76.61789 39.31015),,,,,-76.61789,Charles North,141,STREET,1,
141,123,27935,5A,2017-09-27T00:00:00.000,6:15:00,BURGLARY,SOUTHEASTERN,I,39.29576,2700 ORLEANS ST,POINT (-76.57828 39.29576),,,,,-76.57828,McElderry Park,221,ROW/TOWNHO,1,
145,124,13987,7A,2017-01-05T00:00:00.000,9:00:00,AUTO THEFT,EASTERN,I,39.30209,1000 N KENWOOD AVE,POINT (-76.57829 39.30209),,,,,-76.57829,Madison-Eastend,323,SINGLE HOU,1,
30,114,27935,6D,2017-09-26T00:00:00.000,0:20:00,LARCENY FROM AUTO,SOUTHEASTERN,O,39.28587,500 S LINWOOD AVE,POINT (-76.57582 39.28587),,,,,-76.57582,Canton,232,STREET,1,
141,124,27935,3CF,2017-09-25T00:00:00.000,20:33:00,ROBBERY - COMMERCIAL,SOUTHEASTERN,I,39.29695,2800 JEFFERSON ST,POINT (-76.57727 39.29695),,,,,-76.57727,McElderry Park,221,GROCERY/CO,1,FIREARM
74,25,27301,4C,2017-09-26T00:00:00.000,9:50:00,AGG. ASSAULT,WESTERN,I,39.30775,2100 PRESBURY ST,POINT (-76.65176 39.30775),,,,,-76.65176,Easterwood,741,ROW/TOWNHO,1,OTHER
32,178,27953,6G,2017-09-24T00:00:00.000,9:30:00,LARCENY,SOUTHERN,I,39.27408,1500 RUSSELL ST,POINT (-76.62769 39.27408),,,,,-76.62769,Carroll - Camden Industri,941,OTHER - IN,1,
,,27295,4E,2016-10-23T00:00:00.000,16:43:00,COMMON ASSAULT,NORTHWESTERN,I,39.35783,4200 NADINE DR,POINT (-76.71138 39.35783),,,,,-76.71138,,631,ROW/TOWNHO,1,HANDS
